Come from Fsharp
2014-02-21 10:54:58 200 accounts make orders to TraderServer, cost time: max=134.5171, min=12.5016, average=37.422251
2014-02-21 10:55:38 200 accounts make orders to TraderServer, cost time: max=178.5227, min=14.5018, average=46.673431
2014-02-21 10:56:18 200 accounts make orders to TraderServer, cost time: max=165.521, min=13.5017, average=48.3036385
2014-02-21 10:56:58 200 accounts make orders to TraderServer, cost time: max=687.0873, min=15.0019, average=78.815011
2014-02-21 10:57:38 200 accounts make orders to TraderServer, cost time: max=128.5163, min=13.0016, average=39.2699895
2014-02-21 10:58:18 200 accounts make orders to TraderServer, cost time: max=165.021, min=12.0016, average=39.9225675
2014-02-21 10:58:58 200 accounts make orders to TraderServer, cost time: max=272.5346, min=15.0019, average=42.965456
2014-02-21 10:59:38 200 accounts make orders to TraderServer, cost time: max=232.5295, min=14.0018, average=46.785938
2014-02-21 11:00:18 200 accounts make orders to TraderServer, cost time: max=203.5259, min=13.5017, average=40.5401515
2014-02-21 11:00:58 200 accounts make orders to TraderServer, cost time: max=258.5328, min=14.5018, average=41.9303285
2014-02-21 11:01:38 200 accounts make orders to TraderServer, cost time: max=233.5297, min=13.5017, average=39.309994
2014-02-21 11:02:18 200 accounts make orders to TraderServer, cost time: max=319.5405, min=13.5017, average=43.8680745
2014-02-21 11:02:58 200 accounts make orders to TraderServer, cost time: max=250.5318, min=13.5017, average=44.228121
2014-02-21 11:03:38 200 accounts make orders to TraderServer, cost time: max=289.0367, min=14.0018, average=41.9853305
2014-02-21 11:04:18 200 accounts make orders to TraderServer, cost time: max=163.5208, min=14.5018, average=35.3469945
2014-02-21 11:04:58 200 accounts make orders to TraderServer, cost time: max=195.5248, min=14.0018, average=42.1778605
2014-02-21 11:05:38 200 accounts make orders to TraderServer, cost time: max=158.5201, min=13.5017, average=42.365377
2014-02-21 11:06:18 200 accounts make orders to TraderServer, cost time: max=287.0365, min=13.5017, average=44.613165
2014-02-21 11:06:58 200 accounts make orders to TraderServer, cost time: max=138.5176, min=12.5016, average=37.32724
2014-02-21 11:07:38 200 accounts make orders to TraderServer, cost time: max=176.5224, min=14.5018, average=45.01322
2014-02-21 11:08:18 200 accounts make orders to TraderServer, cost time: max=151.0192, min=15.5019, average=42.560404
2014-02-21 11:08:58 200 accounts make orders to TraderServer, cost time: max=124.5158, min=15.0019, average=37.5622715
2014-02-21 11:09:38 200 accounts make orders to TraderServer, cost time: max=250.0317, min=13.5017, average=36.2170965
2014-02-21 11:10:18 200 accounts make orders to TraderServer, cost time: max=200.0254, min=15.0019, average=42.5904055
2014-02-21 11:20:34 200 accounts make orders to MockOrder, cost time: max=34.5044, min=0, average=0.4700595
2014-02-21 11:21:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:21:54 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:22:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:23:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:23:54 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0050005
2014-02-21 11:24:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:25:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:25:54 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:26:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:27:14 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
2014-02-21 11:27:54 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
2014-02-21 11:28:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:29:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:29:54 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:30:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:31:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:31:54 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:32:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:33:14 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
